team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,14,13,-21,-28,206,162,62,49,194,237,94,73,35,40,1,2,11,6
Chelsea,32,27,2,4,302,224,93,80,208,200,127,113,27,31,3,3,24,26
Everton,35,24,5,-1,279,213,94,81,146,169,124,94,23,21,1,4,23,24
Stoke,22,19,-2,-12,219,199,64,66,186,233,88,65,24,27,2,2,28,23
Man United,27,22,18,-4,248,182,75,68,230,242,117,111,29,36,0,1,41,25
Tottenham,35,34,20,14,371,290,145,105,216,236,142,112,30,42,0,0,36,34
Sunderland,23,25,3,-17,248,191,72,71,174,222,99,61,29,33,1,1,24,15
Liverpool,33,30,11,2,369,260,108,95,180,242,142,123,23,38,1,2,32,28
Arsenal,31,34,20,9,323,249,115,95,170,180,134,93,20,19,1,3,40,31
Man City,47,24,26,4,347,265,115,95,197,212,155,102,25,36,0,0,38,28
West Ham,34,31,8,6,312,244,105,79,186,195,114,110,20,36,3,2,34,28
West Brom,20,14,-6,-8,217,167,61,45,188,204,107,81,25,38,2,1,23,20
Newcastle,32,12,8,-29,228,170,91,61,202,212,77,81,37,21,2,3,28,9
Swansea,20,22,0,-10,228,214,62,74,173,219,77,86,35,27,1,0,30,17
Norwich,26,13,-4,-24,232,184,68,58,201,216,108,80,29,32,0,3,23,11
Southampton,39,20,17,1,286,233,94,75,192,224,114,110,27,30,3,3,36,27
Crystal Palace,19,20,-4,-8,255,211,89,63,215,250,126,93,32,28,1,0,21,21
Leicester,35,33,17,15,276,247,89,92,179,226,91,106,17,31,1,2,42,39
Bournemouth,23,22,-11,-11,243,220,83,61,175,187,129,92,25,27,0,1,20,22
Watford,20,20,1,-11,250,195,74,62,210,250,95,71,38,36,2,1,24,21
